open,high,low,close,Basis,Upper,Lower,Volume
1.39582,1.39592,1.39573,1.39576,1.3962155,1.396604934,1.395826066,33
1.39576,1.39578,1.39556,1.39561,1.396181,1.396648756,1.395713244,33
1.39561,1.39596,1.39558,1.39578,1.396153,1.396645711,1.395660289,90
1.39578,1.39584,1.39548,1.3955,1.396107,1.396659561,1.395554439,72
1.3955,1.3958,1.39546,1.39575,1.396094,1.396666936,1.395521064,54
1.39575,1.39575,1.39548,1.39562,1.396069,1.396677733,1.395460267,31
1.39562,1.39562,1.39532,1.39532,1.396032,1.396722843,1.395341157,60
1.39532,1.39549,1.39507,1.39514,1.395986,1.396778323,1.395193677,90
1.39514,1.39535,1.39498,1.39498,1.39592,1.396810528,1.395029472,97
1.39498,1.39542,1.39494,1.39526,1.39587,1.396790348,1.394949652,63
1.39526,1.39542,1.39526,1.39541,1.3958245,1.396741331,1.394907669,30
1.39541,1.39541,1.39524,1.39537,1.395767,1.396645592,1.394888408,35
1.39537,1.39537,1.3952,1.3953,1.39571,1.396553777,1.394866223,19
1.3953,1.3953,1.39516,1.39522,1.395651,1.396457744,1.394844256,31
1.39522,1.3953,1.3944,1.3944,1.395559,1.396486683,1.394631317,92
1.3944,1.39445,1.39386,1.39433,1.3954605,1.396467505,1.394453495,100
1.39433,1.39433,1.394,1.3942,1.395355,1.396424102,1.394285898,47
1.3942,1.39438,1.39409,1.3943,1.395258,1.396340268,1.394175732,38
1.3943,1.39431,1.39405,1.3941,1.3951585,1.396281643,1.394035357,35
1.3941,1.3941,1.39374,1.39401,1.395068,1.39625332,1.39388268,67
1.39401,1.39447,1.39401,1.39433,1.3949965,1.39617874,1.39381426,47
1.39433,1.3947,1.3942,1.39458,1.394945,1.396105388,1.393784612,69
1.39458,1.39525,1.39456,1.39514,1.394913,1.396013256,1.393812744,73
1.39514,1.39588,1.39496,1.39588,1.394932,1.396084052,1.393779948,101
1.39588,1.39602,1.39557,1.39558,1.3949235,1.396053584,1.393793416,82
1.39558,1.3957,1.39534,1.3955,1.3949175,1.396033921,1.393801079,72
1.3955,1.39578,1.39505,1.39507,1.394905,1.396008639,1.393801361,144
1.39507,1.39552,1.395,1.39528,1.394912,1.396023262,1.393800738,128
1.39528,1.3959,1.39519,1.39562,1.394944,1.396097315,1.393790685,108
1.39562,1.39709,1.39562,1.39674,1.395018,1.396408462,1.393627538,197
1.39674,1.39786,1.39674,1.3976,1.3951275,1.396913007,1.393341993,213
1.3976,1.39849,1.39748,1.39816,1.395267,1.397489081,1.393044919,188
1.39816,1.39861,1.39784,1.39802,1.395403,1.397928717,1.392877283,194
1.39802,1.39833,1.39766,1.39826,1.395555,1.398367938,1.392742062,159
1.39826,1.39886,1.39795,1.39823,1.3957465,1.398734853,1.392758147,294
1.39823,1.39849,1.39773,1.39773,1.3959165,1.398949685,1.392883315,183
1.39773,1.39784,1.39745,1.39775,1.396094,1.399120096,1.393067904,174
1.39775,1.39832,1.39773,1.39814,1.396286,1.3993197,1.3932523,130
1.39814,1.39836,1.39734,1.39739,1.3964505,1.399345865,1.393555135,318
1.39739,1.3976,1.39711,1.39758,1.396629,1.399334483,1.393923517,248
1.39758,1.39794,1.3972,1.39754,1.3967895,1.399304554,1.394274446,266
1.39754,1.39791,1.39743,1.39781,1.396951,1.399286182,1.394615818,209
1.39781,1.39792,1.39654,1.39681,1.3970345,1.39921927,1.39484973,174
1.39681,1.39694,1.39644,1.39662,1.3970715,1.399201179,1.394941821,173
1.39662,1.39742,1.39656,1.397,1.3971425,1.39916029,1.39512471,177
1.397,1.39722,1.39672,1.39691,1.397213,1.399089924,1.395336076,180
1.39691,1.39698,1.39622,1.39652,1.3972855,1.398922381,1.395648619,184
1.39652,1.39772,1.3965,1.39729,1.397386,1.398740465,1.396031535,227
1.39729,1.3974,1.39686,1.39694,1.397452,1.398562488,1.396341512,209
1.39694,1.39696,1.39584,1.3962,1.397425,1.398625991,1.396224009,243
1.3962,1.39684,1.39612,1.39677,1.3973835,1.398614423,1.396152577,148
1.39677,1.39724,1.39663,1.39684,1.3973175,1.39851593,1.39611907,121
1.39684,1.39724,1.39652,1.39724,1.3972785,1.398432905,1.396124095,114
1.39724,1.39854,1.39714,1.3983,1.3972805,1.398441818,1.396119182,228
1.3983,1.39922,1.39825,1.39916,1.397327,1.398693091,1.395960909,242
1.39916,1.39932,1.39868,1.39928,1.3974045,1.399008414,1.395800586,120
1.39928,1.40012,1.39888,1.40002,1.397518,1.399484038,1.395551962,208
1.40002,1.40066,1.39871,1.39926,1.397574,1.399667393,1.395480607,671
1.39926,1.39999,1.39904,1.39984,1.3976965,1.400007874,1.395385126,327
1.39984,1.40026,1.39913,1.39973,1.397804,1.400277972,1.395330028,290
1.39973,1.39973,1.3985,1.39888,1.397871,1.400385,1.395357,256
1.39888,1.399,1.39814,1.3982,1.3978905,1.400408352,1.395372648,155
1.3982,1.3986,1.39808,1.39832,1.397966,1.400439899,1.395492101,196
1.39832,1.39872,1.3983,1.39862,1.398066,1.40047502,1.39565698,140
1.39862,1.3988,1.39804,1.39815,1.3981235,1.400482375,1.395764625,87
1.39815,1.39816,1.39771,1.39788,1.398172,1.400468132,1.395875868,132
1.39788,1.39844,1.39788,1.39792,1.398242,1.400414442,1.396069558,125
1.39792,1.39826,1.39774,1.39815,1.398285,1.400413976,1.396156024,169
1.39815,1.39815,1.3975,1.39754,1.398315,1.400383366,1.396246634,176
1.39754,1.39776,1.39706,1.39741,1.3983755,1.400255037,1.396495963,197
1.39741,1.39762,1.3971,1.39754,1.398414,1.400189054,1.396638946,131
1.39754,1.39824,1.39744,1.39798,1.398471,1.400108069,1.396833931,145
1.39798,1.39834,1.39773,1.3978,1.398499,1.400068661,1.396929339,139
1.3978,1.39858,1.3978,1.39823,1.3984955,1.400067231,1.396923769,139
1.39823,1.39827,1.39756,1.39775,1.398425,1.399997673,1.396852327,124
1.39775,1.39794,1.39756,1.39758,1.39834,1.39990237,1.39677763,111
1.39758,1.39797,1.39754,1.39797,1.3982375,1.399602005,1.396872995,94
1.39797,1.39844,1.39772,1.39772,1.3981605,1.399457658,1.396863342,142
1.39772,1.39798,1.39756,1.39758,1.3980475,1.399112768,1.396982232,74
1.39758,1.39835,1.39734,1.39745,1.3979335,1.398700345,1.397166655,150
1.39745,1.39754,1.39598,1.39616,1.3977975,1.398779312,1.396815688,146
1.39616,1.39624,1.39462,1.39476,1.3976255,1.39925599,1.39599501,270
1.39476,1.39568,1.39462,1.39566,1.3974925,1.399299131,1.395685869,286
1.39566,1.39582,1.39496,1.39496,1.3973095,1.39934872,1.39527028,161
1.39496,1.39538,1.39476,1.39506,1.397155,1.399376193,1.394933807,231
1.39506,1.39555,1.39506,1.39526,1.397024,1.399364542,1.394683458,134
1.39526,1.39534,1.39448,1.39465,1.3968605,1.399378003,1.394342997,206
1.39465,1.39527,1.39465,1.39502,1.396704,1.399270082,1.394137918,161
1.39502,1.39584,1.39496,1.39566,1.39661,1.39918442,1.39403558,136
1.39566,1.39617,1.39564,1.39564,1.3965215,1.399101518,1.393941482,146
1.39564,1.39575,1.39532,1.39532,1.3964105,1.398996706,1.393824294,114
1.39532,1.39585,1.39526,1.39545,1.396284,1.398797224,1.393770776,127
1.39545,1.39634,1.39536,1.39634,1.396211,1.398626772,1.393795228,197
1.39634,1.39674,1.39594,1.39663,1.396131,1.39837381,1.39388819,148
1.39663,1.39734,1.39654,1.39724,1.3961055,1.398284798,1.393926202,115
1.39724,1.39777,1.39694,1.39698,1.3960755,1.398188285,1.393962715,147
1.39698,1.39729,1.39628,1.3963,1.395992,1.397922861,1.394061139,148
1.3963,1.39686,1.39612,1.39674,1.395943,1.397741145,1.394144855,182
1.39674,1.39684,1.39622,1.39664,1.395896,1.39756504,1.39422696,252
1.39664,1.39664,1.39424,1.39474,1.3957605,1.397340544,1.394180456,516
1.39474,1.39587,1.39429,1.39528,1.3957165,1.397298603,1.394134397,391
1.39528,1.39593,1.39458,1.39484,1.3957205,1.397293287,1.394147713,415
1.39484,1.39632,1.39464,1.39584,1.3957295,1.397302859,1.394156141,394
1.39584,1.39647,1.39569,1.3963,1.3957965,1.397347039,1.394245961,346
1.3963,1.39744,1.39618,1.39632,1.3958595,1.397387446,1.394331554,508
1.39632,1.39653,1.39564,1.39604,1.3958985,1.397402884,1.394394116,304
1.39604,1.39666,1.39536,1.39543,1.3959375,1.397347902,1.394527098,308
1.39543,1.39636,1.39524,1.39626,1.3959995,1.397350906,1.394648094,325
1.39626,1.3969,1.39614,1.39686,1.3960595,1.39745124,1.39466776,212
1.39686,1.39727,1.39626,1.39704,1.3961295,1.397569784,1.394689216,207
1.39704,1.39728,1.39668,1.39694,1.3962105,1.397641758,1.394779242,247
1.39694,1.39694,1.39598,1.39648,1.396262,1.397653669,1.394870331,192
1.39648,1.39673,1.39512,1.39522,1.396206,1.39766892,1.39474308,248
1.39522,1.39585,1.39472,1.39554,1.3961515,1.397628325,1.394674675,346
1.39554,1.39616,1.39472,1.3957,1.3960745,1.397474892,1.394674108,337
1.3957,1.39582,1.39522,1.3953,1.3959905,1.397364858,1.394616142,203
1.3953,1.39649,1.39494,1.39604,1.3959775,1.397344802,1.394610198,407
1.39604,1.39684,1.39572,1.39592,1.3959365,1.397258306,1.394614694,438
